event_id,mag,depth,tsunami,maxmmi,economic_loss,population_mmi_5,economic_exposure_mmi_5,population_mmi_6,economic_exposure_mmi_6,population_mmi_7,economic_exposure_mmi_7,population_mmi_8,economic_exposure_mmi_8,population_mmi_9,economic_exposure_mmi_9,population_mmi_10,economic_exposure_mmi_10,has_economic_loss
us6000riuj,5.6,87.3,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000risn,5.6,10.0,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000ril5,5.9,42.1,0,5,9,27538,4356000409.740094,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rik7,5.5,72.2,0,5,2,430645,71232054200.07411,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000ri9x,5.8,10.0,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000ri11,5.4,55.7,0,5,0,1783,101429932.71261378,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rhs3,5.5,8.0,0,5,1,1641,32102088.369882006,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rhqe,5.5,51.3,0,5,0,4570,275317444.7417026,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rhpx,5.4,63.7,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rhns,6.0,32.0,0,6,80,154716,8801364817.478828,85795,4880639975.927481,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rhg5,6.5,33.3,1,6,3000,21806,1313691947.491809,24185,1457013654.5028617,395,23796584.392335348,0,0.0,0,0.0,0,0.0,1
us6000rhf2,6.3,10.0,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rha2,5.4,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rh9m,5.6,51.0,0,5,0,11460,2653474608.4688926,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rh9c,5.4,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgz6,5.5,35.0,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgul,5.9,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgst,5.5,60.3,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgrd,5.8,10.0,0,7,336803,465899,26503703993.759975,197240,11220437424.697666,174870,9947870069.239914,0,0.0,0,0.0,0,0.0,1
us6000rglb,5.6,10.0,0,7,1194,236585,2153811553.926925,28326,257872925.48781228,5327,48495695.617933206,0,0.0,0,0.0,0,0.0,1
us6000rgkr,6.0,77.0,0,5,0,171865,9776923940.355223,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgk9,5.5,49.4,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgjt,5.8,70.1,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgj4,5.5,63.8,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgil,5.5,48.6,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rghy,5.7,75.1,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rggf,5.4,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgge,5.7,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rgf4,7.6,6.5,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rg2s,5.6,66.9,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rg2r,6.7,47.0,1,6,145,3172351,180466263864.71844,155632,8853473520.992432,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rg2a,5.4,159.5,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rg29,5.6,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rg02,5.5,72.2,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rfyw,5.6,67.8,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rfye,6.3,10.0,0,4,0,242,11726086.15983216,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rfx2,5.9,63.4,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rfwz,7.4,59.4,1,7,759883,7401295,421039177698.37616,4685728,266558090717.6726,392480,22327100387.575237,0,0.0,0,0.0,0,0.0,1
us6000rftu,5.4,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rft9,6.1,63.7,0,4,7,32,8909029.640911693,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rfs1,5.5,10.0,0,6,3960670,7692,571853335.9859205,3069,228161451.91637936,60,4460634.446068022,0,0.0,0,0.0,0,0.0,1
us6000rfjc,5.4,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rfhk,5.7,35.0,0,5,0,3562,239545443.94730717,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rfbw,5.1,10.0,0,6,9985,265761,2752870340.271751,44456,424331370.0579576,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rfb2,6.6,103.9,1,6,9,492404,23859387311.760315,3319,160821818.0350535,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rf2j,5.6,570.4,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000resn,5.9,54.2,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rerp,5.5,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rei1,6.1,19.0,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000recz,5.7,559.2,0,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000re62,5.4,25.0,0,4,0,73,16902586.94748945,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rdz7,5.6,151.4,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rdta,6.0,24.6,0,6,1502,1324983,79822961463.06245,218678,13174150586.701542,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rdrz,6.9,10.0,1,9,292254060,11091376,630957667622.1532,2628434,149524331889.81842,472275,26866416978.04244,318918,18142361907.37036,54289,3088350878.8755407,0,0.0,1
us6000rdnq,5.5,42.0,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rdf2,5.2,10.0,0,7,327030,29858,3746261741.7978396,8657,1086187551.0330193,1966,246672603.1339859,0,0.0,0,0.0,0,0.0,1
us6000rdex,5.5,573.6,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rdan,5.5,67.8,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
